"Latitude.1" "Longitude.1" "Latitude.2" "Longitude.2"
"210" 41.723949 -87.604822 41.779651 -87.660835
"211" 41.723949 -87.604822 41.758533 -87.622574
"212" 41.723949 -87.604822 41.71469287 -87.60909886
"213" 41.762699 -87.642967 41.745463 -87.605343
"214" 41.762699 -87.642967 41.99526955 -87.7649838
"215" 41.762699 -87.642967 41.735265 -87.555117
"216" 41.762699 -87.642967 41.742659 -87.55308
"217" 41.762699 -87.642967 42.019235 -87.666926
"218" 41.762699 -87.642967 41.892542 -87.706083
"219" 41.762699 -87.642967 41.749244 -87.559197
"220" 41.762699 -87.642967 41.897299 -87.720205
"221" 41.80151273 -87.63817178 41.806455 -87.657183
"222" 41.80151273 -87.63817178 41.692827 -87.605031
"223" 41.8866083 -87.76997909 41.749938 -87.674973
"224" 41.8866083 -87.76997909 41.896232 -87.670033
"225" 41.8866083 -87.76997909 41.746835 -87.547541
"226" 41.8866083 -87.76997909 41.673132 -87.64016
"227" 41.8866083 -87.76997909 41.844647 -87.694659
"228" 41.8866083 -87.76997909 41.77194037 -87.60048047
"229" 41.702404 -87.681095 41.801828 -87.630708
"230" 41.702404 -87.681095 41.778371 -87.663778
"231" 41.702404 -87.681095 41.76262402 -87.59010601
"232" 41.702404 -87.681095 41.837504 -87.646622
"233" 41.702404 -87.681095 41.7296 -87.622077
"234" 41.702404 -87.681095 41.751422 -87.651338
"235" 41.752248 -87.658634 41.750514 -87.652527
"236" 41.752248 -87.658634 41.873578 -87.698308
"237" 41.752248 -87.658634 41.722338 -87.623747
"238" 41.752248 -87.658634 41.883209 -87.632106
"239" 41.67822115 -87.64913797 41.871946 -87.696048
"240" 41.67822115 -87.64913797 41.884458 -87.744915
"241" 41.67822115 -87.64913797 41.91856 -87.764709
"242" 41.67822115 -87.64913797 41.779651 -87.660835
"243" 41.67822115 -87.64913797 41.76184831 -87.61283614
"244" 41.67822115 -87.64913797 41.873057 -87.698684
"245" 41.67822115 -87.64913797 41.801828 -87.630708
"246" 41.67822115 -87.64913797 41.858466 -87.71422
"247" 41.67822115 -87.64913797 41.898116 -87.720234
"248" 41.67822115 -87.64913797 41.88074 -87.75272
"249" 41.78044692 -87.68593081 41.878757 -87.732959
"250" 41.78044692 -87.68593081 41.768439 -87.644653
"251" 41.78044692 -87.68593081 41.758128 -87.631377
"252" 41.78044692 -87.68593081 41.801558 -87.65534
"253" 41.78044692 -87.68593081 41.896021 -87.716616
"254" 41.78044692 -87.68593081 41.721686 -87.629893
"255" 41.78044692 -87.68593081 41.866033 -87.734965
"256" 41.78044692 -87.68593081 41.719375 -87.556341
"257" 41.78044692 -87.68593081 41.779627 -87.653346
"258" 41.78044692 -87.68593081 41.73696 -87.54407
"259" 41.746839 -87.654852 41.76001 -87.623181
"260" 41.746839 -87.654852 41.890441 -87.722979
"261" 41.746839 -87.654852 41.96387978 -87.81679514
"262" 41.86629 -87.715421 41.836529 -87.651328
"263" 41.86629 -87.715421 41.917776 -87.687744
"264" 41.86629 -87.715421 41.685346 -87.620804
