CRID	Latitude	Longitude
1051056	41.74115132	-87.67032601
1051057	41.889954	-87.626661
1051058	41.82833689	-87.69731896
1051069	41.743739	-87.636287
1051078	41.889809	-87.628411
1051086	41.692827	-87.605031
1051094	41.902015	-87.774186
1051096	41.970291	-87.75898245
1051118	41.76805756	-87.70036901
1051128	41.7867717	-87.64982436
1051133	41.888773	-87.763712
1051135	41.692629	-87.619637
1051147	41.82624	-87.63272
1051178	41.88729	-87.765719
1051205	41.867165	-87.627732
1051214	41.75234012	-87.65620325
1051219	41.86223	-87.727136
1051235	41.758988	-87.566373
1051238	41.923659	-87.787594
1051244	41.726454	-87.54841
1051253	41.74085	-87.551869
1051268	41.871946	-87.696048
1051281	41.90025	-87.770447
1051282	41.745117	-87.594928
1051297	41.779651	-87.660835
1051299	41.73607	-87.643611
1051362	41.96387978	-87.81679514
1051363	41.868763	-87.71062
1051397	41.692827	-87.605031
1051436	41.751701	-87.56867
1051475	NA	NA
1051499	41.778371	-87.663778
1051502	41.779651	-87.660835
1051554	41.770029	-87.672671
1051559	41.750939	-87.548031
1051571	41.76968445	-87.58373152
1051572	41.749876	-87.594436
1051573	41.7226	-87.564717
1051579	41.776194	-87.665657
1051592	41.813914	-87.633684
1051599	41.945761	-87.655056
1051600	41.769632	-87.628698
1051608	41.71460317	-87.56284277
1051610	41.783177	-87.659451
1051611	42.011054	-87.663245
1051624	41.734476	-87.551363
1051626	41.799092	-87.700365
1051629	41.92085382	-87.72422228
1051648	41.751063	-87.618154
1051651	41.67016	-87.628013
1051652	41.966948	-87.662303
1051690	41.757016	-87.561785
1051693	41.755772	-87.643261
1051701	41.904177	-87.725805
1051709	41.759004	-87.565076
1051726	41.684642	-87.643263
1051743	41.923126	-87.644782
1051747	41.750745	-87.636728
1051754	41.80486972	-87.67432003
1051757	41.764429	-87.676733
1051768	41.751567	-87.659692
1051775	41.82833689	-87.69731896
1051792	41.750125	-87.663734
1051801	41.893375	-87.647674
1051802	41.88485404	-87.73069414
1051825	41.74703	-87.556054
1051858	41.918799	-87.648869
1051864	41.784149	-87.597909
1051866	41.756429	-87.624724
1051879	41.76001	-87.623181
1051885	41.89246	-87.712726
1051913	41.889581	-87.755588
1051947	NA	NA
1051948	41.89814353	-87.72128663
1051976	41.764294	-87.603369
1051979	41.88074	-87.75272
1052011	41.868184	-87.709158
1052014	41.823459	-87.645928
1052026	41.75253809	-87.641663
1052030	41.707788	-87.567181
1052032	41.768862	-87.575956
1052050	41.763253	-87.63246
1052052	41.89814353	-87.72128663
1052064	41.750652	-87.643325
1052066	41.772531	-87.641014
1052083	41.869553	-87.745931
1052092	41.743655	-87.624332
1052120	41.766833	-87.605623
1052145	41.722992	-87.623788
1052148	41.902016	-87.77415
1052161	41.887202	-87.755319
1052164	41.900974	-87.631362
1052165	41.905524	-87.642477
1052171	41.78044692	-87.68593081
1052179	41.809588	-87.662057
1052183	41.765291	-87.674668
1052207	41.771009	-87.609618
1052217	41.924484	-87.726769
1052233	41.795815	-87.645641
1052245	41.808187	-87.671089
1052253	41.90859558	-87.76076524
1052264	41.748698	-87.652131
1052267	41.94353414	-87.65664018
1052309	41.90845297	-87.77055367
1052313	41.752304	-87.644085
1052321	41.752304	-87.644085
1052331	41.710492	-87.629138
1052338	41.834225	-87.716542
1052343	41.810852	-87.743578
1052384	41.91856	-87.764709
1052395	41.692827	-87.605031
1052424	41.723642	-87.629672
1052444	41.868184	-87.709158
1052456	41.75106135	-87.59072484
1052472	NA	NA
1052495	41.755658	-87.644417
1052509	41.840391	-87.639294
1052517	41.868763	-87.71062
1052521	41.727556	-87.60293
1052528	41.78078932	-87.59384811
1052536	41.882354	-87.756357
1052546	41.88225812	-87.74043731
1052560	41.76361378	-87.63004905
1052561	41.692117	-87.661844
1052573	41.88485404	-87.73069414
1052586	41.710339	-87.612953
1052587	41.811996	-87.669011
1052609	41.77401236	-87.66407321
1052610	41.893718	-87.748845
1052618	41.768332	-87.683343
